Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
NUEVA SEGOVIA,6/14/2019,2019,6,13.9289999,-86.14759827,1167,CATIMOR,Fruto Consistente,961,20,2.08,Resistentes
NUEVA SEGOVIA,5/13/2019,2019,5,13.9289999,-86.14759827,1167,CATIMOR,Floraci¢n Principal,1013,5,0.49,Resistentes
NUEVA SEGOVIA,04/10/2019,2019,4,13.9289999,-86.14759827,1167,CATIMOR,Hojas Nuevas Mayor al 30%,963,24,2.49,Resistentes
NUEVA SEGOVIA,4/22/2019,2019,4,13.78269958,-86.56890106,1300,CATIMOR,Floracion Loca,1186,12,1.01,Resistentes
NUEVA SEGOVIA,10/26/2019,2019,10,13.78269958,-86.56890106,1300,CATIMOR,Madurez Fisiol¢gica,1215,0,0,Resistentes
NUEVA SEGOVIA,02/07/2019,2019,2,13.76945782,-86.56784058,1260,CATIMOR,Inicio de Cosecha,1227,18,1.47,Resistentes
NUEVA SEGOVIA,12/18/2019,2019,12,13.76945782,-86.56784058,1260,CATIMOR,Madurez Fisiol¢gica,782,0,0,Resistentes
JINOTEGA,9/16/2019,2019,9,13.65058708,-85.71094513,946,CATIMOR,Fruto Consistente,1331,38,2.86,Resistentes
JINOTEGA,9/16/2019,2019,9,13.65058708,-85.71094513,946,CATIMOR,Fruto Consistente,1331,38,2.86,Resistentes
JINOTEGA,07/11/2019,2019,7,13.65058708,-85.71094513,946,CATIMOR,Fruto Consistente,1132,8,0.71,Resistentes
JINOTEGA,5/13/2019,2019,5,13.65058708,-85.71094513,946,CATIMOR,Hojas Nuevas Mayor al 30%,1029,24,2.33,Resistentes
NUEVA SEGOVIA,2/14/2019,2019,2,13.9289999,-86.14759827,1167,CATIMOR,Hojas Nuevas Mayor al 30%,1005,50,4.98,Resistentes
NUEVA SEGOVIA,11/11/2019,2019,11,13.78269958,-86.56890106,1300,CATIMOR,Fruto Consistente,969,0,0,Resistentes
NUEVA SEGOVIA,10/21/2019,2019,10,13.9289999,-86.14759827,1167,CATIMOR,Madurez Fisiol¢gica,1200,67,5.58,Resistentes
NUEVA SEGOVIA,06/06/2019,2019,6,13.78269958,-86.56890106,1300,CATIMOR,Floraci¢n Principal,1359,12,0.88,Resistentes
NUEVA SEGOVIA,1/15/2019,2019,1,13.9289999,-86.14759827,1167,CATIMOR,Madurez Fisiol¢gica,1085,80,7.37,Resistentes
NUEVA SEGOVIA,9/27/2019,2019,9,13.9289999,-86.14759827,1167,CATIMOR,Fruto Consistente,1161,124,10.68,Resistentes
NUEVA SEGOVIA,8/31/2019,2019,8,13.9289999,-86.14759827,1167,CATIMOR,Fruto Consistente,1186,10,0.84,Resistentes
NUEVA SEGOVIA,3/13/2019,2019,3,13.9289999,-86.14759827,1167,CATIMOR,Hojas Nuevas Mayor al 30%,1016,72,7.09,Resistentes
JINOTEGA,10/15/2019,2019,10,13.13312531,-85.98410034,949,CATIMOR,Fruto Consistente,1065,0,0,Resistentes
NUEVA SEGOVIA,9/26/2019,2019,9,13.92380047,-86.13300323,760,CATIMOR,Fruto Consistente,1211,0,0,Resistentes
NUEVA SEGOVIA,06/06/2019,2019,6,13.76945782,-86.56784058,1260,CATIMOR,Fruto Consistente,652,0,0,Resistentes
NUEVA SEGOVIA,11/11/2019,2019,11,13.76945782,-86.56784058,1260,CATIMOR,Fruto Consistente,802,1,0.12,Resistentes
NUEVA SEGOVIA,10/26/2019,2019,10,13.76945782,-86.56784058,1260,CATIMOR,Madurez Fisiol¢gica,1027,79,7.69,Resistentes
